id,date,text,x,y
847032344682815488,Wed Mar 29 10:27:02 +0000 2017,#Nagelsmann nur ein Trend auf dem 5. Platz in Deutschland werden #trndnl https://t.co/F3bA7ZrvKK,13.377,52.5161
847032277951504384,Wed Mar 29 10:26:46 +0000 2017,"On this day, Gen. George S. Patton’s 3rd Army captures Frankfurt, as “Old Blood and Guts”… https://t.co/JPduEZgTdZ",13.3989,52.5006
847031638525652992,Wed Mar 29 10:24:14 +0000 2017,Porn Shop project sketch at https://t.co/jrsD43h9nL @ Berlin - Kreuzberg https://t.co/UvZYYwBtJi,13.41945598,52.4999553
847031518446960642,Wed Mar 29 10:23:45 +0000 2017,Lunch time (@ Maximilians in Berlin) https://t.co/vr2BcSJ9ys,13.38932681,52.51123619
847030881709690882,Wed Mar 29 10:21:13 +0000 2017,"💯%🔝 #AsiVisteLaBermejo :•🆒•🆓•🆗#AhShi #QuienShabe#FelizMiercolesParaTodos @ Berlin, Germany https://t.co/kjNogyEYF4",13.3989,52.5006
847030738541301761,Wed Mar 29 10:20:39 +0000 2017,I'm at ベルリン中央駅 in Berlin https://t.co/LIUnE37a60,13.36922003,52.52516461
847030571423346688,Wed Mar 29 10:19:59 +0000 2017,⒍ Ende der Anonymität im Netz⒎ Britain⒏ Bergfest⒐ Christine Kaufmann⒑ iOS 10.32017/3/29 12:16 CEST #trndnl https://t.co/p8qpEIM5hj,13.377,52.5161
847030570349555714,Wed Mar 29 10:19:59 +0000 2017,⒈ #Brexit⒉ #kfgn17⒊ #DVBT2⒋ #Article50⒌ #HamburgRäumtAuf2017/3/29 12:16 CEST #trndnl https://t.co/p8qpEIM5hj,13.377,52.5161
847030338052345859,Wed Mar 29 10:19:04 +0000 2017,Biz Dev Hustler in #Berlin (Fest) #Marketing #Locarta #dasauge #jobs → https://t.co/LTvPH4AuJV,13.3777035,52.532614
847030336609538048,Wed Mar 29 10:19:03 +0000 2017,#Sales Manager /Vertrieb – Digital- &amp; Print in #Berlin (Fest) #dasauge #jobs → https://t.co/yd7QmsF66K,13.383,52.51016
847030281718640641,Wed Mar 29 10:18:50 +0000 2017,Geo.. 😎😎 (@ Heinrich-von-Kleist-Park in Berlin) https://t.co/vx0TEm5ZuE https://t.co/O7aQeHP9Rg,13.35946831,52.49191979
847030259195285505,Wed Mar 29 10:18:45 +0000 2017,PM: Mayer/Binninger: Erschwerniszulagen für Beamte des Bundes zurecht  ...  https://t.co/TPLoVKyQvg,13.404954,52.520007
847030207013949441,Wed Mar 29 10:18:33 +0000 2017,PM: Best Western Plus Palatin Kongresshotel – Für ein faires Miteinander  https://t.co/vJ1ZCMlrk2,13.404954,52.520007
847030187657216000,Wed Mar 29 10:18:28 +0000 2017,"PM: ""Unseligen Wettlauf zwischen Bundesländern beenden"": Ge ...  https://t.co/Tn2wTSWrK3",13.404954,52.520007
847030080052367360,Wed Mar 29 10:18:02 +0000 2017,Fullstack #PHP Developer in #Berlin (Fest) #dasauge #jobs → https://t.co/TEDtgsTqTi,13.4123013,52.5517268
847029576857456641,Wed Mar 29 10:16:02 +0000 2017,Projektmanager/Account Manager Corporate Fashion in #Berlin (Fest) #dasauge #jobs → https://t.co/6upQSaUqdd,13.4949508,52.5190891
847029572365365248,Wed Mar 29 10:16:01 +0000 2017,Chief Product Officer (CPO) in #Bochum (Fest) #Stellenangebot #dasauge #jobs → https://t.co/Q3k3pNsXu1,13.45742,52.49228
847029545274363905,Wed Mar 29 10:15:55 +0000 2017,"≈29,6 km (Intensität 40%, Fläche 18%) - mehr auf https://t.co/dEPZkaEnlD(29.03.17 12:15) #berlin https://t.co/W4kdCTM7uh",13.413177,52.523167
847029328131096578,Wed Mar 29 10:15:03 +0000 2017,#Webmaster/ PHP Entwickler Freelancer (#Berlin) #seosupport #dasauge #jobs → https://t.co/AlFXplW2IR,13.3147792,52.4950243
847029326285602817,Wed Mar 29 10:15:03 +0000 2017,Business Development Manager in #Berlin (Fest) #BusinessDevelopmentManagement #sygns #dasauge #jobs → https://t.co/jtDZx5KYmH,13.414046,52.5121401
847029320832962560,Wed Mar 29 10:15:01 +0000 2017,"Graphic Web Designer (m/f) – HTML, CSS, SEO in #Berlin (Fest) #Design #dasauge #jobs → https://t.co/9P9HVcQA3G",13.414046,52.5121401
847029147088117761,Wed Mar 29 10:14:20 +0000 2017,"Berlin, Germany--Berlin Cathedral is the short name for the Evangelical Supreme Parish and… https://t.co/OcCU0BWc2x",13.40095997,52.51871483
847029069619367936,Wed Mar 29 10:14:01 +0000 2017,Chief Design Officer (CDO) in #Bochum (Fest) #Stellenangebot #dasauge #jobs → https://t.co/us3zc2aPbD,13.45742,52.49228
847028822067204097,Wed Mar 29 10:13:02 +0000 2017,Buntes Berlin und Sonne! 💕💐| #berlin #kreuzberg #kreuzbergberlin #berlingram #diestadtberlin… https://t.co/GJs5gd92wA,13.41222222,52.50333333
847028815444488193,Wed Mar 29 10:13:01 +0000 2017,Büroassistent/in in #Berlin (Fest) #dasauge #jobs → https://t.co/01xkibE1ai,13.4123013,52.5517268
847028812969848832,Wed Mar 29 10:13:00 +0000 2017,SEO Expert in #Essen (Fest) #dasauge #jobs → https://t.co/6mmEHHlWwK,13.40262,52.5203
847028799283724288,Wed Mar 29 10:12:57 +0000 2017,"5 verified accounts helped to turn #HamburgRäumtAuf into a Trending Topic. Some of them: @PolizeiHamburg, @FeuerwehrHH &amp; @NielsAnnen",13.377,52.5161
847028797387919364,Wed Mar 29 10:12:56 +0000 2017,#Top3Apps for #HamburgRäumtAufTwitter for Android 37%Twitter Web Client 20%Twitter for iPhone 14%,13.377,52.5161
847028795458514944,Wed Mar 29 10:12:56 +0000 2017,128 benutzer und 162 tweets (129 RTs) in 2 wochen drehte den hashtag #HamburgRäumtAuf in trend. #trndnl,13.377,52.5161
847028793684377602,Wed Mar 29 10:12:56 +0000 2017,@GreenpeaceHH der 1. Erwähnung der #HamburgRäumtAuf erscheint auf Ihrer TL. Jetzt ist Trending Topic in Deutschland! #trndnl,13.377,52.5161
